sub	session	blocknum	trial	letterset	load	letter	resp	acc	RT	stim
10	1	4	8	R  Y  T  F  M	H	y	1	Correct	869	S
10	1	4	9	R  Y  T  F  M	H	k	2	Incorrect	577	S
10	1	4	10	R  Y  T  F  M	H	d	1	Correct	909	S
10	1	4	11	R  Y  T  F  M	H	j	2	Incorrect	729	S
10	1	4	12	R  Y  T  F  M	H	k	2	Incorrect	830	S
10	1	4	13	R  Y  T  F  M	H	a	2	Incorrect	579	S
10	1	4	14	R  Y  T  F  M	H	e	1	Correct	671	S
10	1	4	15	R  Y  T  F  M	H	u	2	Incorrect	572	S
10	1	4	16	R  Y  T  F  M	H	u	0	Miss	0	S
10	1	4	17	R  Y  T  F  M	H	r	1	Correct	556	S
10	1	4	18	R  Y  T  F  M	H	e	2	Incorrect	633	S
10	1	4	19	R  Y  T  F  M	H	h	2	Incorrect	998	S
10	1	4	20	R  Y  T  F  M	H	r	1	Correct	530	S
10	1	4	21	R  Y  T  F  M	H	u	2	Incorrect	551	S
10	1	4	22	R  Y  T  F  M	H	d	2	Incorrect	563	S
10	1	4	23	R  Y  T  F  M	H	q	2	Incorrect	584	S
10	1	4	24	R  Y  T  F  M	H	q	2	Incorrect	556	S
10	1	4	25	R  Y  T  F  M	H	u	2	Incorrect	657	S
10	1	5	1	H  G  W	M	h	1	Correct	500	S
10	1	5	2	H  G  W	M	u	2	Correct	496	S
10	1	5	3	H  G  W	M	w	2	Incorrect	661	S
10	1	5	4	H  G  W	M	r	2	Correct	745	S
10	1	5	5	H  G  W	M	n	2	Correct	517	S
10	1	5	6	H  G  W	M	f	2	Correct	569	S
10	1	5	7	H  G  W	M	q	2	Correct	438	S
10	1	5	8	H  G  W	M	y	2	Correct	410	S
10	1	5	9	H  G  W	M	w	1	Correct	423	S
10	1	5	10	H  G  W	M	e	2	Correct	531	S
10	1	5	11	H  G  W	M	a	2	Correct	439	S
10	1	5	12	H  G  W	M	w	1	Correct	564	S
10	1	5	13	H  G  W	M	w	1	Correct	464	S
10	1	5	14	H  G  W	M	w	1	Correct	437	S
10	1	5	15	H  G  W	M	y	2	Correct	802	S
10	1	5	16	H  G  W	M	r	2	Correct	822	S
10	1	5	17	H  G  W	M	e	2	Correct	434	S
10	1	5	18	H  G  W	M	h	1	Correct	519	S
10	1	5	19	H  G  W	M	h	1	Correct	515	S
10	1	5	20	H  G  W	M	d	2	Correct	536	S
10	1	5	21	H  G  W	M	u	2	Correct	452	S
10	1	5	22	H  G  W	M	w	1	Correct	673	S
10	1	5	23	H  G  W	M	k	2	Correct	918	S
10	1	5	24	H  G  W	M	g	2	Incorrect	458	S
10	1	5	25	H  G  W	M	j	2	Correct	887	S
10	1	6	1	G  F  H	M	q	2	Correct	546	S
10	1	6	2	G  F  H	M	g	1	Correct	519	S
10	1	6	3	G  F  H	M	f	1	Correct	468	S
10	1	6	4	G  F  H	M	g	1	Correct	448	S
10	1	6	5	G  F  H	M	u	2	Correct	453	S
10	1	6	6	G  F  H	M	f	1	Correct	394	S
10	1	6	7	G  F  H	M	m	2	Correct	478	S
10	1	6	8	G  F  H	M	g	1	Correct	395	S
10	1	6	9	G  F  H	M	e	2	Correct	487	S
10	1	6	10	G  F  H	M	f	1	Correct	444	S
10	1	6	11	G  F  H	M	n	2	Correct	520	S
10	1	6	12	G  F  H	M	h	1	Correct	397	S
10	1	6	13	G  F  H	M	g	1	Correct	641	S
10	1	6	14	G  F  H	M	g	1	Correct	389	S
10	1	6	15	G  F  H	M	m	2	Correct	505	S
10	1	6	16	G  F  H	M	y	2	Correct	750	S
10	1	6	17	G  F  H	M	f	1	Correct	675	S
10	1	6	18	G  F  H	M	a	2	Correct	518	S
10	1	6	19	G  F  H	M	j	2	Correct	555	S
10	1	6	20	G  F  H	M	y	2	Correct	472	S
10	1	6	21	G  F  H	M	j	2	Correct	532	S
10	1	6	22	G  F  H	M	q	2	Correct	560	S
10	1	6	23	G  F  H	M	b	2	Correct	548	S
10	1	6	24	G  F  H	M	h	1	Correct	825	S
10	1	6	25	G  F  H	M	e	2	Correct	446	S
10	2	1	1	G  W  U  M  K	H	f	0	Miss	0	A
10	2	1	2	G  W  U  M  K	H	w	1	Correct	652	A
10	2	1	3	G  W  U  M  K	H	w	1	Correct	480	A
10	2	1	4	G  W  U  M  K	H	h	2	Incorrect	781	A
10	2	1	5	G  W  U  M  K	H	y	2	Incorrect	713	A
10	2	1	6	G  W  U  M  K	H	w	1	Correct	606	A
10	2	1	7	G  W  U  M  K	H	w	1	Correct	450	A
10	2	1	8	G  W  U  M  K	H	w	1	Correct	375	A
10	2	1	9	G  W  U  M  K	H	u	2	Incorrect	515	A
10	2	1	10	G  W  U  M  K	H	t	2	Incorrect	751	A
10	2	1	11	G  W  U  M  K	H	b	2	Incorrect	796	A
10	2	1	12	G  W  U  M  K	H	k	1	Correct	489	A
10	2	1	13	G  W  U  M  K	H	r	2	Incorrect	661	A
10	2	1	14	G  W  U  M  K	H	j	1	Correct	714	A
10	2	1	15	G  W  U  M  K	H	w	1	Correct	782	A
10	2	1	16	G  W  U  M  K	H	f	0	Miss	0	A
10	2	1	17	G  W  U  M  K	H	t	2	Incorrect	607	A
10	2	1	18	G  W  U  M  K	H	f	1	Correct	580	A
10	2	1	19	G  W  U  M  K	H	k	1	Correct	608	A
10	2	1	20	G  W  U  M  K	H	k	1	Correct	453	A
10	2	1	21	G  W  U  M  K	H	q	2	Incorrect	498	A
10	2	1	22	G  W  U  M  K	H	f	1	Correct	590	A
10	2	1	23	G  W  U  M  K	H	w	1	Correct	683	A
10	2	1	24	G  W  U  M  K	H	q	2	Incorrect	584	A
10	2	1	25	G  W  U  M  K	H	b	2	Incorrect	476	A
10	2	2	1	M	L	m	1	Correct	480	A
10	2	2	2	M	L	m	1	Correct	436	A
10	2	2	3	M	L	m	1	Correct	384	A
10	2	2	4	M	L	m	1	Correct	365	A
10	2	2	5	M	L	j	2	Correct	433	A
10	2	2	6	M	L	j	2	Correct	382	A
10	2	2	7	M	L	b	2	Correct	426	A
10	2	2	8	M	L	r	2	Correct	399	A
10	2	2	9	M	L	k	2	Correct	467	A
10	2	2	10	M	L	r	2	Correct	399	A
10	2	2	11	M	L	k	2	Correct	403	A
10	2	2	12	M	L	j	2	Correct	360	A
10	2	2	13	M	L	t	2	Correct	357	A
10	2	2	14	M	L	m	1	Correct	433	A
10	2	2	15	M	L	j	2	Correct	438	A
10	2	2	16	M	L	m	1	Correct	410	A
10	2	2	17	M	L	r	2	Correct	535	A
10	2	2	18	M	L	f	2	Correct	396	A
10	2	2	19	M	L	m	1	Correct	520	A
10	2	2	20	M	L	m	1	Correct	325	A
10	2	2	21	M	L	b	2	Correct	386	A
10	2	2	22	M	L	e	2	Correct	398	A
10	2	2	23	M	L	r	2	Correct	379	A
10	2	2	24	M	L	m	1	Correct	376	A
10	2	2	25	M	L	m	1	Correct	284	A
10	2	3	1	M  A  N	M	b	2	Correct	670	A
10	2	3	2	M  A  N	M	a	1	Correct	699	A
10	2	3	3	M  A  N	M	n	1	Correct	607	A
10	2	3	4	M  A  N	M	y	2	Correct	572	A
10	2	3	5	M  A  N	M	y	2	Correct	440	A
10	2	3	6	M  A  N	M	u	2	Correct	461	A
10	2	3	7	M  A  N	M	q	2	Correct	417	A
10	2	3	8	M  A  N	M	n	1	Correct	454	A
10	2	3	9	M  A  N	M	y	2	Correct	563	A
10	2	3	10	M  A  N	M	d	2	Correct	647	A
10	2	3	11	M  A  N	M	e	2	Correct	452	A
10	2	3	12	M  A  N	M	k	2	Correct	473	A
10	2	3	13	M  A  N	M	a	1	Correct	525	A
10	2	3	14	M  A  N	M	y	2	Correct	458	A
10	2	3	15	M  A  N	M	m	1	Correct	415	A
10	2	3	16	M  A  N	M	a	1	Correct	475	A
10	2	3	17	M  A  N	M	r	2	Correct	439	A
10	2	3	18	M  A  N	M	m	1	Correct	484	A
10	2	3	19	M  A  N	M	j	2	Correct	480	A
10	2	3	20	M  A  N	M	d	2	Correct	404	A
10	2	3	21	M  A  N	M	m	1	Correct	385	A
10	2	3	22	M  A  N	M	h	2	Correct	526	A
10	2	3	23	M  A  N	M	n	1	Correct	410	A
10	2	3	24	M  A  N	M	b	2	Correct	519	A
10	2	3	25	M  A  N	M	t	2	Correct	436	A
10	2	4	1	F  G  W  B  U	H	g	0	Miss	0	A
10	2	4	2	F  G  W  B  U	H	u	1	Correct	691	A
10	2	4	3	F  G  W  B  U	H	w	1	Correct	528	A
10	2	4	4	F  G  W  B  U	H	e	2	Incorrect	620	A
10	2	4	5	F  G  W  B  U	H	b	2	Incorrect	633	A
10	2	4	6	F  G  W  B  U	H	m	0	Miss	0	A
10	2	4	7	F  G  W  B  U	H	w	2	Incorrect	626	A
10	2	4	8	F  G  W  B  U	H	e	2	Incorrect	695	A
10	2	4	9	F  G  W  B  U	H	b	1	Correct	555	A
10	2	4	10	F  G  W  B  U	H	y	1	Correct	776	A
10	2	4	11	F  G  W  B  U	H	k	2	Incorrect	597	A
10	2	4	12	F  G  W  B  U	H	b	1	Correct	625	A
10	2	4	13	F  G  W  B  U	H	y	2	Incorrect	822	A
10	2	4	14	F  G  W  B  U	H	w	1	Correct	667	A
10	2	4	15	F  G  W  B  U	H	t	2	Incorrect	791	A
10	2	4	16	F  G  W  B  U	H	n	2	Incorrect	564	A
10	2	4	17	F  G  W  B  U	H	g	1	Correct	544	A
10	2	4	18	F  G  W  B  U	H	w	1	Correct	508	A
10	2	4	19	F  G  W  B  U	H	n	2	Incorrect	848	A
10	2	4	20	F  G  W  B  U	H	n	2	Incorrect	516	A
10	2	4	21	F  G  W  B  U	H	m	2	Incorrect	680	A
10	2	4	22	F  G  W  B  U	H	n	2	Incorrect	413	A
10	2	4	23	F  G  W  B  U	H	j	2	Incorrect	714	A
10	2	4	24	F  G  W  B  U	H	h	2	Incorrect	534	A
10	2	4	25	F  G  W  B  U	H	g	1	Correct	531	A
10	2	5	1	M  H  T	M	e	2	Correct	534	A
10	2	5	2	M  H  T	M	y	2	Correct	602	A
10	2	5	3	M  H  T	M	u	2	Correct	495	A
10	2	5	4	M  H  T	M	e	2	Correct	387	A
10	2	5	5	M  H  T	M	b	2	Correct	440	A
10	2	5	6	M  H  T	M	w	2	Correct	436	A
10	2	5	7	M  H  T	M	a	2	Correct	409	A
10	2	5	8	M  H  T	M	m	1	Correct	477	A
10	2	5	9	M  H  T	M	b	2	Correct	705	A
10	2	5	10	M  H  T	M	t	1	Correct	349	A
10	2	5	11	M  H  T	M	w	2	Correct	505	A
10	2	5	12	M  H  T	M	t	1	Correct	614	A
10	2	5	13	M  H  T	M	m	1	Correct	419	A
10	2	5	14	M  H  T	M	y	2	Correct	511	A
10	2	5	15	M  H  T	M	w	2	Correct	483	A
10	2	5	16	M  H  T	M	a	2	Correct	439	A
10	2	5	17	M  H  T	M	f	2	Correct	460	A
10	2	5	18	M  H  T	M	k	2	Correct	432	A
10	2	5	19	M  H  T	M	f	2	Correct	636	A
10	2	5	20	M  H  T	M	h	1	Correct	457	A
10	2	5	21	M  H  T	M	h	1	Correct	462	A
10	2	5	22	M  H  T	M	a	2	Correct	450	A
10	2	5	23	M  H  T	M	m	1	Correct	455	A
10	2	5	24	M  H  T	M	y	2	Correct	428	A
10	2	5	25	M  H  T	M	d	2	Correct	760	A
10	2	6	1	Q	L	h	2	Correct	497	A
10	2	6	2	Q	L	q	1	Correct	502	A
10	2	6	3	Q	L	q	1	Correct	418	A
10	2	6	4	Q	L	q	1	Correct	407	A
10	2	6	5	Q	L	e	2	Correct	659	A
10	2	6	6	Q	L	q	1	Correct	535	A
10	2	6	7	Q	L	d	2	Correct	564	A
10	2	6	8	Q	L	b	2	Correct	433	A
10	2	6	9	Q	L	q	1	Correct	493	A
10	2	6	10	Q	L	a	2	Correct	505	A
10	2	6	11	Q	L	q	1	Correct	445	A
10	2	6	12	Q	L	q	1	Correct	370	A
10	2	6	13	Q	L	t	2	Correct	415	A
10	2	6	14	Q	L	a	2	Correct	419	A
10	2	6	15	Q	L	q	1	Correct	471	A
10	2	6	16	Q	L	n	2	Correct	460	A
10	2	6	17	Q	L	q	1	Correct	328	A
10	2	6	18	Q	L	q	1	Correct	364	A
10	2	6	19	Q	L	f	2	Correct	424	A
10	2	6	20	Q	L	g	1	Incorrect	476	A
10	2	6	21	Q	L	r	2	Correct	553	A
10	2	6	22	Q	L	q	1	Correct	694	A
10	2	6	23	Q	L	q	1	Correct	426	A
10	2	6	24	Q	L	k	2	Correct	431	A
10	2	6	25	Q	L	e	2	Correct	444	A
11	1	1	1	U	L	w	0	Miss	0	A
11	1	1	2	U	L	d	0	Miss	0	A
11	1	1	3	U	L	u	0	Miss	0	A
11	1	1	4	U	L	u	0	Miss	0	A
11	1	1	5	U	L	u	0	Miss	0	A
11	1	1	6	U	L	u	2	Incorrect	303	A
11	1	1	7	U	L	d	2	Correct	532	A
11	1	1	8	U	L	f	0	Miss	0	A
11	1	1	9	U	L	y	2	Correct	581	A
11	1	1	10	U	L	j	2	Correct	434	A
11	1	1	11	U	L	b	2	Correct	975	A
11	1	1	12	U	L	u	0	Miss	0	A
11	1	1	13	U	L	h	2	Correct	848	A
11	1	1	14	U	L	r	2	Correct	757	A
11	1	1	15	U	L	r	0	Miss	0	A
11	1	1	16	U	L	u	2	Incorrect	894	A
11	1	1	17	U	L	h	0	Miss	0	A
11	1	1	18	U	L	m	2	Correct	503	A
11	1	1	19	U	L	u	0	Miss	0	A
11	1	1	20	U	L	u	1	Correct	463	A
11	1	1	21	U	L	t	2	Correct	635	A
11	1	1	22	U	L	n	0	Miss	0	A
11	1	1	23	U	L	u	1	Correct	732	A
11	1	1	24	U	L	u	1	Correct	544	A
11	1	1	25	U	L	w	0	Miss	0	A
11	1	2	1	J  K  M  W  D	H	a	2	Incorrect	703	A
11	1	2	2	J  K  M  W  D	H	d	1	Correct	716	A
11	1	2	3	J  K  M  W  D	H	n	2	Incorrect	848	A
11	1	2	4	J  K  M  W  D	H	k	1	Correct	733	A
11	1	2	5	J  K  M  W  D	H	h	2	Incorrect	578	A
11	1	2	6	J  K  M  W  D	H	t	2	Incorrect	574	A
11	1	2	7	J  K  M  W  D	H	n	1	Correct	674	A
11	1	2	8	J  K  M  W  D	H	r	2	Incorrect	695	A
11	1	2	9	J  K  M  W  D	H	t	2	Incorrect	651	A
11	1	2	10	J  K  M  W  D	H	m	1	Correct	535	A
11	1	2	11	J  K  M  W  D	H	d	2	Incorrect	508	A
11	1	2	12	J  K  M  W  D	H	a	2	Incorrect	889	A
11	1	2	13	J  K  M  W  D	H	e	2	Incorrect	653	A
11	1	2	14	J  K  M  W  D	H	d	1	Correct	626	A
11	1	2	15	J  K  M  W  D	H	t	2	Incorrect	599	A
11	1	2	16	J  K  M  W  D	H	w	0	Miss	0	A
11	1	2	17	J  K  M  W  D	H	m	1	Correct	752	A
11	1	2	18	J  K  M  W  D	H	u	2	Incorrect	740	A
11	1	2	19	J  K  M  W  D	H	w	1	Correct	640	A
11	1	2	20	J  K  M  W  D	H	e	2	Incorrect	661	A
11	1	2	21	J  K  M  W  D	H	m	1	Correct	529	A
11	1	2	22	J  K  M  W  D	H	n	2	Incorrect	670	A
11	1	2	23	J  K  M  W  D	H	d	1	Correct	426	A
11	1	2	24	J  K  M  W  D	H	g	2	Incorrect	879	A
11	1	2	25	J  K  M  W  D	H	k	1	Correct	732	A
11	1	3	1	E  A  W  N  K	H	n	0	Miss	0	A
11	1	3	2	E  A  W  N  K	H	h	2	Incorrect	556	A
11	1	3	3	E  A  W  N  K	H	u	2	Incorrect	760	A
11	1	3	4	E  A  W  N  K	H	y	2	Incorrect	557	A
11	1	3	5	E  A  W  N  K	H	a	1	Correct	394	A
11	1	3	6	E  A  W  N  K	H	k	1	Correct	774	A
11	1	3	7	E  A  W  N  K	H	f	2	Incorrect	515	A
11	1	3	8	E  A  W  N  K	H	u	2	Incorrect	775	A
11	1	3	9	E  A  W  N  K	H	u	2	Incorrect	588	A
11	1	3	10	E  A  W  N  K	H	q	2	Incorrect	553	A
11	1	3	11	E  A  W  N  K	H	g	2	Incorrect	701	A
11	1	3	12	E  A  W  N  K	H	n	1	Correct	642	A
11	1	3	13	E  A  W  N  K	H	g	2	Incorrect	486	A
11	1	3	14	E  A  W  N  K	H	w	1	Correct	755	A
11	1	3	15	E  A  W  N  K	H	n	1	Correct	695	A
11	1	3	16	E  A  W  N  K	H	y	2	Incorrect	548	A
11	1	3	17	E  A  W  N  K	H	j	2	Incorrect	745	A
11	1	3	18	E  A  W  N  K	H	d	2	Incorrect	741	A
11	1	3	19	E  A  W  N  K	H	m	1	Correct	562	A
11	1	3	20	E  A  W  N  K	H	q	2	Incorrect	542	A
11	1	3	21	E  A  W  N  K	H	e	2	Incorrect	674	A
11	1	3	22	E  A  W  N  K	H	m	2	Incorrect	775	A
11	1	3	23	E  A  W  N  K	H	q	2	Incorrect	836	A
11	1	3	24	E  A  W  N  K	H	n	1	Correct	600	A
11	1	3	25	E  A  W  N  K	H	g	2	Incorrect	501	A
11	1	4	1	Y	L	g	2	Correct	528	A
11	1	4	2	Y	L	q	2	Correct	397	A
11	1	4	3	Y	L	g	2	Correct	354	A
11	1	4	4	Y	L	y	1	Correct	486	A
11	1	4	5	Y	L	k	2	Correct	547	A
11	1	4	6	Y	L	n	2	Correct	544	A
11	1	4	7	Y	L	y	1	Correct	412	A
11	1	4	8	Y	L	y	1	Correct	424	A
11	1	4	9	Y	L	y	1	Correct	397	A
11	1	4	10	Y	L	t	2	Correct	418	A
11	1	4	11	Y	L	y	1	Correct	398	A
11	1	4	12	Y	L	n	2	Correct	459	A
11	1	4	13	Y	L	y	1	Correct	631	A
11	1	4	14	Y	L	u	2	Correct	627	A
11	1	4	15	Y	L	m	2	Correct	696	A
11	1	4	16	Y	L	w	2	Correct	517	A
11	1	4	17	Y	L	n	2	Correct	409	A
11	1	4	18	Y	L	y	1	Correct	406	A
11	1	4	19	Y	L	y	1	Correct	522	A
11	1	4	20	Y	L	y	1	Correct	503	A
11	1	4	21	Y	L	e	1	Incorrect	307	A
11	1	4	22	Y	L	y	1	Correct	528	A
11	1	4	23	Y	L	y	1	Correct	396	A
11	1	4	24	Y	L	y	1	Correct	609	A
11	1	4	25	Y	L	n	2	Correct	550	A
11	1	5	1	N  R  A	M	e	2	Correct	737	A
11	1	5	2	N  R  A	M	n	1	Correct	477	A
11	1	5	3	N  R  A	M	u	2	Correct	554	A
11	1	5	4	N  R  A	M	r	1	Correct	606	A
11	1	5	5	N  R  A	M	u	2	Correct	475	A
11	1	5	6	N  R  A	M	q	2	Correct	504	A
11	1	5	7	N  R  A	M	k	2	Correct	452	A
11	1	5	8	N  R  A	M	q	2	Correct	449	A
11	1	5	9	N  R  A	M	n	1	Correct	454	A
11	1	5	10	N  R  A	M	h	2	Correct	354	A
11	1	5	11	N  R  A	M	a	1	Correct	527	A
11	1	5	12	N  R  A	M	t	2	Correct	564	A
11	1	5	13	N  R  A	M	e	2	Correct	648	A
11	1	5	14	N  R  A	M	f	2	Correct	461	A
11	1	5	15	N  R  A	M	n	1	Correct	513	A
11	1	5	16	N  R  A	M	g	2	Correct	437	A
11	1	5	17	N  R  A	M	e	2	Correct	730	A
11	1	5	18	N  R  A	M	r	2	Incorrect	398	A
11	1	5	19	N  R  A	M	d	2	Correct	611	A
11	1	5	20	N  R  A	M	a	1	Correct	623	A
11	1	5	21	N  R  A	M	n	1	Correct	628	A
11	1	5	22	N  R  A	M	h	2	Correct	433	A
11	1	5	23	N  R  A	M	b	2	Correct	485	A
11	1	5	24	N  R  A	M	y	2	Correct	514	A
11	1	5	25	N  R  A	M	a	1	Correct	511	A
11	1	6	1	G  F  H	M	j	2	Correct	873	A
11	1	6	2	G  F  H	M	h	2	Incorrect	501	A
11	1	6	3	G  F  H	M	m	2	Correct	586	A
11	1	6	4	G  F  H	M	y	2	Correct	518	A
11	1	6	5	G  F  H	M	j	2	Correct	547	A
11	1	6	6	G  F  H	M	r	2	Correct	496	A
11	1	6	7	G  F  H	M	q	2	Correct	524	A
11	1	6	8	G  F  H	M	h	1	Correct	625	A
11	1	6	9	G  F  H	M	f	1	Correct	709	A
11	1	6	10	G  F  H	M	u	2	Correct	570	A
11	1	6	11	G  F  H	M	e	2	Correct	886	A
11	1	6	12	G  F  H	M	y	2	Correct	538	A
11	1	6	13	G  F  H	M	u	2	Correct	543	A
11	1	6	14	G  F  H	M	f	1	Correct	716	A
11	1	6	15	G  F  H	M	q	2	Correct	632	A
11	1	6	16	G  F  H	M	g	1	Correct	580	A
11	1	6	17	G  F  H	M	r	2	Correct	537	A
11	1	6	18	G  F  H	M	g	1	Correct	453	A
11	1	6	19	G  F  H	M	k	2	Correct	746	A
11	1	6	20	G  F  H	M	t	2	Correct	687	A
11	1	6	21	G  F  H	M	h	2	Incorrect	643	A
11	1	6	22	G  F  H	M	k	2	Correct	544	A
11	1	6	23	G  F  H	M	w	2	Correct	701	A
11	1	6	24	G  F  H	M	e	2	Correct	665	A
11	1	6	25	G  F  H	M	q	2	Correct	901	A
11	2	1	1	F  K  J	M	k	1	Correct	823	S
11	2	1	2	F  K  J	M	q	2	Correct	739	S
11	2	1	3	F  K  J	M	y	2	Correct	647	S
11	2	1	4	F  K  J	M	q	2	Correct	651	S
11	2	1	5	F  K  J	M	t	2	Correct	472	S
11	2	1	6	F  K  J	M	g	2	Correct	652	S
11	2	1	7	F  K  J	M	g	2	Correct	625	S
11	2	1	8	F  K  J	M	y	2	Correct	477	S
11	2	1	9	F  K  J	M	y	2	Correct	394	S
11	2	1	10	F  K  J	M	n	2	Correct	502	S
11	2	1	11	F  K  J	M	j	1	Correct	635	S
11	2	1	12	F  K  J	M	f	1	Correct	792	S
11	2	1	13	F  K  J	M	e	2	Correct	500	S
11	2	1	14	F  K  J	M	u	2	Correct	473	S
11	2	1	15	F  K  J	M	h	2	Correct	566	S
11	2	1	16	F  K  J	M	w	2	Correct	610	S
11	2	1	17	F  K  J	M	w	2	Correct	519	S
11	2	1	18	F  K  J	M	j	1	Correct	611	S
11	2	1	19	F  K  J	M	g	2	Correct	632	S
11	2	1	20	F  K  J	M	f	1	Correct	853	S
11	2	1	21	F  K  J	M	a	2	Correct	585	S
11	2	1	22	F  K  J	M	n	2	Correct	566	S
11	2	1	23	F  K  J	M	r	2	Correct	603	S
11	2	1	24	F  K  J	M	n	2	Correct	551	S
11	2	1	25	F  K  J	M	j	1	Correct	612	S
11	2	2	1	B  U  Q	M	b	1	Correct	575	S
11	2	2	2	B  U  Q	M	q	1	Correct	755	S
11	2	2	3	B  U  Q	M	d	2	Correct	567	S
11	2	2	4	B  U  Q	M	b	1	Correct	619	S
11	2	2	5	B  U  Q	M	u	1	Correct	480	S
11	2	2	6	B  U  Q	M	f	2	Correct	572	S
11	2	2	7	B  U  Q	M	q	1	Correct	673	S
11	2	2	8	B  U  Q	M	f	2	Correct	774	S
11	2	2	9	B  U  Q	M	q	1	Correct	682	S
11	2	2	10	B  U  Q	M	d	2	Correct	646	S
11	2	2	11	B  U  Q	M	a	2	Correct	883	S
